,Date,Temp High ºF,Temp Avg ºF,Temp Low ºF,Dew High ºF,Dew Avg ºF,Dew Low ºF,Humid High %,Humid Avg %,Humid Low %,Speed High mph,Speed Avg mph,Speed Low mph,Pressure High in,Pressure Low in,Precip Sum in,city_code
2,2024-01-21,45.5,37.6,34.2,39.4,35.8,33.3,97,93,79,1.1,0.1,0.0,30.01,29.96,0.00,IGALAP24
3,2024-01-22,57.4,41.7,31.1,48.2,39.1,30.6,99,91,69,7.4,0.8,0.0,30.08,29.98,0.00,IGALAP24
4,2024-01-23,61.2,47.5,37.2,51.4,44.5,36.7,98,90,67,3.8,0.4,0.0,30.13,30.04,0.00,IGALAP24
5,2024-01-24,68.4,51.9,41.9,51.8,43.8,37.6,94,75,45,2.7,0.6,0.0,30.14,30.06,0.00,IGALAP24
6,2024-01-25,68.2,52.2,40.5,50.4,41.3,33.3,89,68,41,3.8,0.4,0.0,30.08,29.95,0.00,IGALAP24
7,2024-01-26,70.2,54.1,43.3,47.7,40.5,36.3,82,62,31,3.1,0.5,0.0,29.99,29.91,0.00,IGALAP24
8,2024-01-27,66.2,52.8,43.9,43.3,37.6,32.5,71,57,39,4.0,0.6,0.0,29.94,29.83,0.00,IGALAP24
9,2024-01-28,62.1,49.3,40.3,45.0,40.3,35.4,86,72,49,4.5,0.5,0.0,29.86,29.80,0.00,IGALAP24
10,2024-01-29,59.7,48.7,42.3,45.0,40.7,38.1,93,75,53,3.6,0.3,0.0,29.91,29.82,0.00,IGALAP24
11,2024-01-30,58.8,44.8,37.8,47.5,41.4,36.3,96,89,62,3.1,0.2,0.0,29.97,29.88,0.00,IGALAP24
12,2024-01-31,58.3,43.6,36.5,48.4,41.0,35.8,98,91,65,3.4,0.2,0.0,30.02,29.95,0.00,IGALAP24
2,2024-01-21,45.5,37.6,34.2,39.4,35.8,33.3,97,93,79,1.1,0.1,0.0,30.01,29.96,0.00,IMECO5
3,2024-01-22,57.4,41.7,31.1,48.2,39.1,30.6,99,91,69,7.4,0.8,0.0,30.08,29.98,0.00,IMECO5
4,2024-01-23,61.2,47.5,37.2,51.4,44.5,36.7,98,90,67,3.8,0.4,0.0,30.13,30.04,0.00,IMECO5
5,2024-01-24,68.4,51.9,41.9,51.8,43.8,37.6,94,75,45,2.7,0.6,0.0,30.14,30.06,0.00,IMECO5
6,2024-01-25,68.2,52.2,40.5,50.4,41.3,33.3,89,68,41,3.8,0.4,0.0,30.08,29.95,0.00,IMECO5
7,2024-01-26,70.2,54.1,43.3,47.7,40.5,36.3,82,62,31,3.1,0.5,0.0,29.99,29.91,0.00,IMECO5
8,2024-01-27,66.2,52.8,43.9,43.3,37.6,32.5,71,57,39,4.0,0.6,0.0,29.94,29.83,0.00,IMECO5
9,2024-01-28,62.1,49.3,40.3,45.0,40.3,35.4,86,72,49,4.5,0.5,0.0,29.86,29.80,0.00,IMECO5
10,2024-01-29,59.7,48.7,42.3,45.0,40.7,38.1,93,75,53,3.6,0.3,0.0,29.91,29.82,0.00,IMECO5
11,2024-01-30,58.8,44.8,37.8,47.5,41.4,36.3,96,89,62,3.1,0.2,0.0,29.97,29.88,0.00,IMECO5
12,2024-01-31,58.3,43.6,36.5,48.4,41.0,35.8,98,91,65,3.4,0.2,0.0,30.02,29.95,0.00,IMECO5
2,2024-01-01,48.2,36.7,27.9,35.4,29.3,23.2,92,77,41,5.8,0.8,0.0,30.11,29.99,0.00,INAVAR25
