,Date,Temp High ºF,Temp Avg ºF,Temp Low ºF,Dew High ºF,Dew Avg ºF,Dew Low ºF,Humid High %,Humid Avg %,Humid Low %,Speed High mph,Speed Avg mph,Speed Low mph,Pressure High in,Pressure Low in,Precip Sum in,city_code
3,2024-01-02,39.0,34.4,29.7,38.3,33.1,28.0,97,95,91,4.0,0.4,0.0,30.12,30.02,0.04,INAVAR25
4,2024-01-03,52.5,44.5,35.6,49.1,42.8,34.3,99,94,77,5.6,0.6,0.0,30.07,29.99,0.27,INAVAR25
5,2024-01-04,46.8,38.3,30.4,42.4,37.1,29.7,98,95,81,4.0,0.5,0.0,30.07,29.76,0.07,INAVAR25
6,2024-01-05,39.7,36.4,34.0,38.3,32.9,29.8,97,88,72,21.5,5.4,0.0,29.86,29.68,0.28,INAVAR25
7,2024-01-06,39.0,35.0,32.0,32.4,30.4,28.2,93,84,72,19.0,6.7,0.0,30.06,29.86,0.03,INAVAR25
8,2024-01-07,38.3,34.3,30.7,30.6,28.2,26.4,87,78,66,15.2,2.4,0.0,30.11,30.03,0.00,INAVAR25
9,2024-01-08,43.9,34.1,23.0,30.0,26.2,21.2,94,75,43,13.2,1.2,0.0,30.07,29.97,0.00,INAVAR25
10,2024-01-09,38.5,34.9,31.8,34.7,32.1,27.9,95,90,81,4.0,0.2,0.0,30.02,29.96,0.00,INAVAR25
11,2024-01-10,41.5,35.9,32.4,38.5,34.7,31.6,98,95,79,9.6,0.3,0.0,30.00,29.94,0.29,INAVAR25
12,2024-01-11,41.2,34.0,24.1,33.8,27.8,21.9,98,79,51,9.2,1.7,0.0,30.12,29.97,0.09,INAVAR25
13,2024-01-12,39.9,28.3,18.9,28.2,23.3,17.4,95,83,56,4.9,0.9,0.0,30.20,30.10,0.00,INAVAR25
14,2024-01-13,47.1,35.9,24.4,37.9,31.6,22.8,95,86,64,4.0,0.5,0.0,30.21,30.10,0.01,INAVAR25
15,2024-01-14,49.1,41.7,33.8,44.6,39.9,32.5,98,93,73,10.7,0.8,0.0,30.11,29.97,0.10,INAVAR25
16,2024-01-15,56.3,47.6,43.2,51.3,46.5,42.4,98,96,76,11.4,0.8,0.0,29.98,29.86,0.51,INAVAR25
17,2024-01-16,51.1,48.4,45.0,50.5,47.5,44.1,99,97,86,9.4,0.7,0.0,29.93,29.76,0.14,INAVAR25
18,2024-01-17,53.6,46.7,39.6,45.9,43.1,37.6,99,88,65,12.1,1.5,0.0,29.77,29.54,0.71,INAVAR25
19,2024-01-18,54.5,47.2,41.5,46.0,40.4,37.6,96,78,57,13.6,1.9,0.0,29.83,29.68,0.00,INAVAR25
20,2024-01-19,42.3,38.6,31.3,41.4,37.5,30.7,98,96,92,4.0,0.4,0.0,29.88,29.65,1.09,INAVAR25
21,2024-01-20,47.7,35.3,26.4,37.4,30.8,25.2,98,85,53,5.1,0.8,0.0,30.31,29.87,0.01,INAVAR25
22,2024-01-21,50.2,36.3,25.5,39.7,31.2,24.6,97,84,46,4.5,0.8,0.0,30.44,30.30,0.00,INAVAR25
23,2024-01-22,57.0,42.7,29.1,48.4,39.0,28.2,98,88,64,10.1,1.1,0.0,30.52,30.40,0.01,INAVAR25
24,2024-01-23,63.9,45.7,34.9,52.0,41.2,34.2,98,86,57,6.0,1.1,0.0,30.58,30.49,0.00,INAVAR25
25,2024-01-24,66.9,47.3,34.5,47.1,37.2,31.6,93,73,32,4.9,1.2,0.0,30.59,30.52,0.00,INAVAR25
26,2024-01-25,68.7,48.1,35.6,45.3,37.5,33.3,92,72,32,4.9,1.1,0.0,30.54,30.41,0.00,INAVAR25
27,2024-01-26,67.8,49.3,36.5,46.8,37.1,33.6,91,68,30,4.9,1.2,0.0,30.45,30.38,0.00,INAVAR25
28,2024-01-27,64.4,47.2,35.6,45.3,36.8,32.5,91,71,36,4.0,0.9,0.0,30.40,30.29,0.00,INAVAR25
29,2024-01-28,58.8,44.3,33.4,46.2,38.2,31.6,95,81,53,5.4,1.0,0.0,30.32,30.26,0.00,INAVAR25
30,2024-01-29,56.1,44.3,34.5,45.5,38.8,32.5,94,82,59,4.9,0.8,0.0,30.35,30.27,0.00,INAVAR25
31,2024-01-30,59.5,41.9,30.0,44.6,36.0,29.1,96,82,46,4.3,0.9,0.0,30.41,30.32,0.00,INAVAR25
32,2024-01-31,59.7,40.9,29.1,45.7,34.9,27.3,94,80,42,4.7,1.0,0.0,30.47,30.38,0.00,INAVAR25
2,2024-01-01,49.1,39.9,31.6,40.6,33.9,24.3,94,80,40,5.8,0.6,0.0,29.52,29.40,0.00,IGUADARR14
3,2024-01-02,42.6,37.7,30.9,41.9,35.5,29.7,98,92,84,2.9,0.1,0.0,29.52,29.44,0.00,IGUADARR14
4,2024-01-03,52.2,47.1,41.5,50.4,45.9,40.3,99,96,87,6.7,0.4,0.0,29.47,29.40,0.32,IGUADARR14
5,2024-01-04,47.5,41.7,34.5,45.1,40.5,34.0,99,96,88,4.5,0.3,0.0,29.46,29.16,0.07,IGUADARR14
6,2024-01-05,41.2,37.5,35.1,40.1,35.1,33.4,99,91,79,9.2,2.1,0.0,29.28,29.07,0.30,IGUADARR14
7,2024-01-06,41.0,36.3,32.9,35.6,32.5,30.4,92,86,77,7.2,1.7,0.0,29.48,29.28,0.00,IGUADARR14
8,2024-01-07,43.2,35.4,31.3,34.5,30.5,28.4,90,83,66,5.8,0.9,0.0,29.53,29.46,0.00,IGUADARR14
9,2024-01-08,45.5,35.7,27.1,33.6,29.3,24.6,92,79,52,3.8,0.4,0.0,29.50,29.38,0.00,IGUADARR14
10,2024-01-09,41.2,37.7,33.1,37.4,35.1,30.4,96,91,82,3.8,0.2,0.0,29.43,29.37,0.00,IGUADARR14
11,2024-01-10,45.0,39.0,36.7,41.4,37.8,35.8,99,96,81,8.3,0.7,0.0,29.44,29.36,0.74,IGUADARR14
12,2024-01-11,41.2,36.3,30.7,36.5,32.0,28.6,99,85,65,4.3,0.5,0.0,29.55,29.38,0.01,IGUADARR14
13,2024-01-12,44.6,32.8,22.8,34.0,28.0,21.9,97,84,57,2.9,0.3,0.0,29.64,29.53,0.00,IGUADARR14
14,2024-01-13,46.6,39.2,29.1,41.7,36.5,27.5,98,91,78,2.5,0.1,0.0,29.66,29.54,0.00,IGUADARR14
15,2024-01-14,50.7,42.6,39.0,44.8,41.6,37.0,99,97,75,5.8,0.2,0.0,29.55,29.42,0.33,IGUADARR14
16,2024-01-15,56.7,49.0,42.4,53.8,48.3,42.1,99,98,85,6.7,0.4,0.0,29.43,29.31,0.34,IGUADARR14
17,2024-01-16,52.3,49.3,46.9,52.0,48.7,45.3,99,98,88,5.8,0.3,0.0,29.37,29.19,0.30,IGUADARR14
18,2024-01-17,51.6,47.4,41.9,49.1,45.7,39.9,99,94,80,6.3,0.8,0.0,29.20,28.98,1.35,IGUADARR14
19,2024-01-18,55.6,46.0,39.2,50.7,43.0,38.8,99,90,74,7.4,0.5,0.0,29.25,29.14,0.01,IGUADARR14
20,2024-01-19,44.4,40.9,31.6,43.9,40.2,28.9,99,97,85,8.1,0.5,0.0,29.27,29.02,0.99,IGUADARR14
21,2024-01-20,49.3,37.5,28.2,39.4,32.3,27.3,98,83,49,6.0,0.6,0.0,29.72,29.26,0.00,IGUADARR14
22,2024-01-21,50.4,37.3,27.9,42.6,34.1,27.1,99,89,64,3.4,0.3,0.0,29.85,29.71,0.00,IGUADARR14
23,2024-01-22,59.4,47.4,32.7,48.7,42.9,31.8,98,85,59,6.3,1.0,0.0,29.92,29.82,0.00,IGUADARR14
24,2024-01-23,59.5,50.4,41.4,52.7,47.0,40.6,99,89,73,5.4,0.6,0.0,29.98,29.89,0.00,IGUADARR14
25,2024-01-24,67.6,50.5,39.0,53.8,43.8,36.1,98,80,45,2.5,0.4,0.0,29.99,29.92,0.00,IGUADARR14
26,2024-01-25,68.7,51.0,38.8,52.7,41.7,35.1,91,74,34,2.5,0.5,0.0,29.94,29.80,0.00,IGUADARR14
27,2024-01-26,69.4,51.8,41.0,52.0,42.2,37.8,92,73,35,2.5,0.5,0.0,29.90,29.79,0.00,IGUADARR14
28,2024-01-27,68.2,50.2,40.5,48.4,40.6,35.1,89,72,35,2.7,0.4,0.0,29.85,29.74,0.00,IGUADARR14
29,2024-01-28,61.2,46.5,36.9,47.8,41.4,35.2,97,84,55,3.4,0.3,0.0,29.78,29.72,0.00,IGUADARR14
30,2024-01-29,58.8,47.4,39.6,47.3,41.9,37.8,96,83,57,2.9,0.2,0.0,29.81,29.72,0.00,IGUADARR14
31,2024-01-30,57.4,43.6,36.0,48.6,41.4,35.4,99,93,70,2.7,0.3,0.0,29.87,29.78,0.00,IGUADARR14
32,2024-01-31,57.7,44.6,33.3,50.0,40.9,32.9,99,88,66,3.4,0.3,0.0,29.94,29.85,0.00,IGUADARR14
